29	54	17	7	26	56	13	5	49	20	6	3	26	91	5	5	25	26	42	17	55	55	18	67	20	10	4	4	11	7	4	4
1	6	43	23	4	4	47	25	11	10	24	57	4	29	55	25	5	4	18	13	5	5	12	53	40	50	26	56	19	23	56	26
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	54	17	7	26	56	13	5	49	20	6	3	26	91	5	5	25	26	42	17	55	55	18	67	20	10	4	4	11	7	4	4
1	6	43	23	4	4	47	25	11	10	24	57	4	29	55	25	5	4	18	13	5	5	12	53	40	50	26	56	19	23	56	26
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	107	37	11	54	105	25	10	94	37	13	13	45	161	12	9	54	47	66	23	106	104	22	84	58	40	13	7	29	21	10	8
3	13	83	49	6	15	95	50	26	23	47	107	15	79	108	51	6	13	54	37	14	16	38	156	62	80	47	113	31	39	110	52
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	107	37	11	54	105	25	10	94	37	13	13	45	161	12	9	54	47	66	23	106	104	22	84	58	40	13	7	29	21	10	8
3	13	83	49	6	15	95	50	26	23	47	107	15	79	108	51	6	13	54	37	14	16	38	156	62	80	47	113	31	39	110	52
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
